"","accD","atpA","atpB","atpE","atpF","atpH","atpI","ccsA","cemA","clpP","infA","matK","ndhA","ndhB","ndhC","ndhD","ndhE","ndhF","ndhG","ndhH","ndhI","ndhJ","petA","petB","petD","petG","petL","petN","psaA","psaB","psaC","psaI","psaJ","psbA","psbB","psbC","psbD","psbE","psbF","psbH","psbI","psbJ","psbK","psbL","psbM","psbN","psbT","psbZ","rbcL","rpl14","rpl16","rpl20","rpl22","rpl32","rpl33","rpl36","rpoA","rpoB","rpoC1","rpoC2","rps11","rps14","rps15","rps16","rps18","rps2","rps3","rps4","rps7","rps8","ycf3","ycf4","atpB_rbcL","matK_trnK","ndhAintron","ndhF_rpl32","petA_psbJ","psbE_petL","rpl32_trnL","rpoB_trnC","rps16intron","rps16_trnQ","trnH_psbA","trnK_matK","trnK_rps16","trnLintron","trnL_trnF","trnS_rps4","trnT_psbD"
"Campanulaceae",0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0
"Gentianaceae",1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1
"Primulaceae",0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Saxifragaceae",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1
